Dokumen,Layout,Doc Type,Bahasa,Special Issue,Skor Komposit (0–100)*|JS,Skor Komposit (0–100)*|Python,Skor Komposit (0–100)*|Diff,Text Edit ↓|JS,Text Edit ↓|Python,Text Edit ↓|Diff,Text CER ↓|JS,Text CER ↓|Python,Text CER ↓|Diff,Formula Edit ↓|JS,Formula Edit ↓|Python,Formula Edit ↓|Diff,Table TEDS ↑|JS,Table TEDS ↑|Python,Table TEDS ↑|Diff,Table TEDS-S ↑|JS,Table TEDS-S ↑|Python,Table TEDS-S ↑|Diff,Reading Order Edit ↓|JS,Reading Order Edit ↓|Python,Reading Order Edit ↓|Diff,Coverage F1 ↑|JS,Coverage F1 ↑|Python,Coverage F1 ↑|Diff,BBox IoU ↑|JS,BBox IoU ↑|Python,BBox IoU ↑|Diff
PPT_1637904769_page_017,single_column,PPT2PDF,english,,61.84,61.84,0.0,0.3816,0.3816,0.0,0.3816,0.3816,0.0,,,,,,,,,,0.0,0.0,0.0,0.5714,0.5714,0.0,0.5893,0.5894,-9.999999999998899e-05
PPT_8076_MEYER_Chapter_2_-_Language_Change_page_021,single_column,PPT2PDF,english,"table_wireless_line, table_horizontal",82.2,81.47,0.730000000000004,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.6441,0.6294,0.014700000000000046,0.7647,0.7647,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9613,0.9613,0.0
PPT_BaharMartonosi_page_007,single_column,PPT2PDF,english,,88.19,88.71,-0.519999999999996,0.1181,0.1129,0.005199999999999996,0.1788,0.1736,0.005199999999999982,,,,,,,,,,0.0,0.0,0.0,0.8571,0.8571,0.0,0.8429,0.8348,0.008099999999999996
PPT_CalculusReview_page_002,1andmore_column,PPT2PDF,english,,64.26,64.26,0.0,0.3574,0.3574,0.0,0.3574,0.3574,0.0,,,,,,,,,,0.0,0.0,0.0,0.5455,0.5455,0.0,0.7124,0.7124,0.0
PPT_CalculusReview_page_033,single_column,PPT2PDF,english,,45.89,45.21,0.6799999999999997,0.348,0.3363,0.011699999999999988,0.348,0.3363,0.011699999999999988,0.7342,0.7595,-0.02529999999999999,,,,,,,,,,0.6667,0.6667,0.0,0.6182,0.6017,0.01649999999999996
PPT_LEP power point presentation-English-FINAL-10-31-07_page_008,single_column,PPT2PDF,english,,68.0,86.16,-18.159999999999997,0.32,0.1384,0.1816,0.3779,0.1397,0.23820000000000002,,,,,,,,,,0.0,0.0,0.0,0.7692,0.7143,0.05489999999999995,0.6279,0.8191,-0.19120000000000004
PPT_PresentationSpecification_page_010,single_column,PPT2PDF,english,,71.11,78.39,-7.280000000000001,0.0404,0.0293,0.011099999999999999,0.0404,0.0293,0.011099999999999999,,,,0.4626,0.5971,-0.13449999999999995,0.6,0.675,-0.07500000000000007,0.0,0.0,0.0,1.0,1.0,0.0,0.9601,0.9544,0.005699999999999927
PPT_StewartCalcET7e_03_02_page_007,single_column,PPT2PDF,english,,85.64,85.64,0.0,0.125,0.125,0.0,0.1724,0.1724,0.0,0.1621,0.1621,0.0,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.9164,0.916,0.00039999999999995595
PPT_StewartCalcET7e_03_02_page_010,single_column,PPT2PDF,english,,80.59,80.59,0.0,0.2015,0.2015,0.0,0.4446,0.4446,0.0,0.1866,0.1866,0.0,,,,,,,0.0,0.0,0.0,0.9333,0.9333,0.0,0.8641,0.8649,-0.0008000000000000229
PPT_The Right Moves_page_010,single_column,PPT2PDF,english,,99.61,99.8,-0.18999999999999773,0.0039,0.002,0.0018999999999999998,0.0039,0.002,0.0018999999999999998,,,,,,,,,,0.0,0.0,0.0,0.8,0.8,0.0,0.9631,0.9514,0.011699999999999933
