Layout,DocType,N,Pct
Satu kolom,PPT2PDF,42,22.340425531914892
Satu kolom,book,41,21.80851063829787
Satu kolom,research_report,28,14.893617021276595
Satu kolom,note,26,13.829787234042554
Satu kolom,academic_literature,22,11.702127659574469
Satu kolom,exam_paper,14,7.446808510638298
Satu kolom,colorful_textbook,13,6.914893617021277
Satu kolom,magazine,1,0.5319148936170213
Satu kolom,historical_document,1,0.5319148936170213
Dua kolom,exam_paper,15,41.666666666666664
Dua kolom,academic_literature,11,30.555555555555557
Dua kolom,book,5,13.88888888888889
Dua kolom,colorful_textbook,4,11.11111111111111
Dua kolom,magazine,1,2.7777777777777777
Tiga kolom,newspaper,6,54.54545454545455
Tiga kolom,magazine,2,18.181818181818183
Tiga kolom,book,1,9.090909090909092
Tiga kolom,exam_paper,1,9.090909090909092
Tiga kolom,academic_literature,1,9.090909090909092
Satu/lebih kolom tidak beraturan,exam_paper,8,27.586206896551722
Satu/lebih kolom tidak beraturan,academic_literature,6,20.689655172413794
Satu/lebih kolom tidak beraturan,magazine,5,17.24137931034483
Satu/lebih kolom tidak beraturan,book,5,17.24137931034483
Satu/lebih kolom tidak beraturan,colorful_textbook,4,13.793103448275861
Satu/lebih kolom tidak beraturan,PPT2PDF,1,3.4482758620689653
Tata letak lainnya,newspaper,25,29.069767441860463
Tata letak lainnya,magazine,23,26.74418604651163
Tata letak lainnya,colorful_textbook,15,17.441860465116278
Tata letak lainnya,PPT2PDF,7,8.13953488372093
Tata letak lainnya,exam_paper,5,5.813953488372093
Tata letak lainnya,academic_literature,4,4.651162790697675
Tata letak lainnya,book,4,4.651162790697675
Tata letak lainnya,historical_document,3,3.488372093023256
